CodelistID;GroupType;SchemeID;CL Name;Codelist Description;Agency;CLID;Ver;Total Codes;Unique Codes;Common codes;Shared Codes;Similar Codelists;URL
IMF:CL_ACCOUNT_ENTRY(1.5.0);SINGLE;accountEntry;Accounting entry code list;Description not available;IMF;CL_ACCOUNT_ENTRY;1.5.0;31;8;2;21;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_ACCOUNT_ENTRY/1.5.0
ESTAT:CL_ACTIVITY93(1.6);GROUP;activity;Activity classification (SNA93);Description not available;ESTAT;CL_ACTIVITY93;1.6;297;84;3;210;['ESTAT:CL_ACTIVITY93(1.6)', 'ESTAT:CL_ACTIVITY(1.11.0)', 'UNSD:CL_ACTIVITY(1.0)', 'IAEG-SDGs:CL_ACTIVITY(1.6)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_ACTIVITY93/1.6
ESTAT:CL_REF_PERIOD_DTL(1.0);SINGLE;refPeriod;Reference period detail codes;Description not available;ESTAT;CL_REF_PERIOD_DTL;1.0;13;1;0;12;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_REF_PERIOD_DTL/1.0
ESTAT:CL_REGIONAL(6.1.0);SINGLE;regionals;Regional codes;Description not available;ESTAT;CL_REGIONAL;6.1.0;3649;3342;2;305;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_REGIONAL/6.1.0
IAEG-SDGs:CL_REPORTING_TYPE(1.0);SINGLE;reportingType;Reporting type code list;Reporting type code list;IAEG-SDGs;CL_REPORTING_TYPE;1.0;3;0;0;3;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_REPORTING_TYPE/1.0
ESTAT:CL_SEASON_ADJUST(1.0);GROUP;seasonalAdjust;Seasonal adjustment;Statistical technique used to remove the effects of seasonal and calendar influences operating on a data series.;ESTAT;CL_SEASON_ADJUST;1.0;11;0;0;11;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_SEASON_ADJUST/1.0
SDMX:CL_SEASONAL_ADJUST(1.0);GROUP;seasonalAdjust;Seasonal Adjustment;"Seasonal adjustment is a statistical technique used to remove the effects of seasonal and calendar influences operating on a data series. Version 1.0 of the code list was formally adopted by the SDMX Secretariat on 4 July 2014. Further recommended code values for expressing general statistical concepts like ""not applicable"", etc., can be found in section “Generic codes” of the ""Guidelines for the creation and management of SDMX Cross-Domain Code Lists"" (https://sdmx.org/?page_id=4345).";SDMX;CL_SEASONAL_ADJUST;1.0;11;0;0;11;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_SEASONAL_ADJUST/1.0
ESTAT:CL_SECTOR(1.14);GROUP;institutSec;Sector codes;Description not available;ESTAT;CL_SECTOR;1.14;236;170;1;65;['ESTAT:CL_SECTOR93(1.4)', 'ESTAT:CL_SECTOR(1.14)', 'UIS:CL_SECTOR(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_SECTOR/1.14
UIS:CL_SECTOR(1.0);SINGLE;sector;Reference/Counterpart institutional sector;Description not available;UIS;CL_SECTOR;1.0;18;10;2;6;['ESTAT:CL_SECTOR93(1.4)', 'ESTAT:CL_SECTOR(1.14)', 'UIS:CL_SECTOR(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_SECTOR/1.0
ESTAT:CL_SECTOR93(1.4);GROUP;institutSec;Institutional sector;Description not available;ESTAT;CL_SECTOR93;1.4;78;14;1;63;['ESTAT:CL_SECTOR93(1.4)', 'ESTAT:CL_SECTOR(1.14)', 'UIS:CL_SECTOR(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_SECTOR93/1.4
ESTAT:CL_SEEA_STO(1.2);GROUP;itemStocks;Stocks, Transactions, Other Flows;Description not available;ESTAT;CL_SEEA_STO;1.2;592;11;2;579;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_SEEA_STO/1.2
IAEG-SDGs:CL_SERIES(1.18);SINGLE;series;SDG Series Code List;SDG Series Code List;IAEG-SDGs;CL_SERIES;1.18;815;815;0;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_SERIES/1.18
ESTAT:CL_ADJUSTMENT(1.4);GROUP;seasonalAdjust;Adjustment indicator;"Adjustment indicator is a statistical technique used to remove the effects of seasonal and calendar influences operating on a data series.
This codelist is based on the codelist CL_SEASONAL_ADJUST+1.0 in which the code _Z(Not applicable) was added.";ESTAT;CL_ADJUSTMENT;1.4;12;0;1;11;['ESTAT:CL_ADJUSTMENT(1.4)', 'IMF:CL_ADJUSTMENT(1.4)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_ADJUSTMENT/1.4
IAEG-SDGs:CL_SEX(1.1);GROUP;sex;Sex code list;Description not available;IAEG-SDGs;CL_SEX;1.1;7;0;5;2;['SDMX:CL_SEX(2.1)', 'IAEG-SDGs:CL_SEX(1.1)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_SEX/1.1
