agency_id;codelistID;Name;URL
IMF;CL_ACCOUNT_ENTRY;Accounting entry code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_ACCOUNT_ENTRY/1.5.0
IMF;CL_ACCOUNTS_ITEM;Item classification code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_ACCOUNTS_ITEM/1.8.0
ESTAT;CL_ACTIVITY;Industrial activity code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_ACTIVITY/1.11.0
IAEG-SDGs;CL_ACTIVITY;Economic activity code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_ACTIVITY/1.6
UNSD;CL_ACTIVITY;CL_ACTIVITY;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_ACTIVITY/1.0
OECD;CL_ACTIVITY_ALLOC;Activity allocation code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_ACTIVITY_ALLOC/1.0
SDMX;CL_ACTIVITY_ANZSIC06;Activity - ANZSIC 2006;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_ACTIVITY_ANZSIC06/1.0
SDMX;CL_ACTIVITY_ISIC4;Activity - ISIC, Revision 4;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_ACTIVITY_ISIC4/1.0
SDMX;CL_ACTIVITY_NACE2;Activity - NACE, Revision 2;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_ACTIVITY_NACE2/1.0
ESTAT;CL_ACTIVITY93;Activity classification (SNA93);https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_ACTIVITY93/1.6
ESTAT;CL_ADJUSTMENT;Adjustment indicator;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_ADJUSTMENT/1.4
IMF;CL_ADJUSTMENT;Adjustment indicator;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_ADJUSTMENT/1.4
IAEG-SDGs;CL_AGE;SDG age group code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_AGE/1.19
SDMX;CL_AGE;Age;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_AGE/1.0
UIS;CL_AGE;Age;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_AGE/1.0
